Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
128up,alc,AlaRS,128up,a5,alc,alc,a5,alc,ATPsynGL,AANATL2,CG12012,CG12535,arg,arg,arg
14-3-3epsilon,CG10257,Arpc4,7B2,ACC,Blos1,CG11319,alphaTub84D,alpha-Est5,CG10055,Acp65Aa,CG15547,CG13430,CecB,brn,CG10803
5-HT1B,CG12133,CG10195,a6,Acp1,CG14990,CG11470,CG10803,alpha-Man-Ic,CG11369,Acph-1,CG30091,CG13771,CG11149,CG10803,CG15185
7B2,CG13579,CG10477,Aac11,Acp65Aa,CG17919,CG18231,CG10936,CecB,CG11585,ade5,CG30281,CG14990,CG12123,CG12730,CG15547
a6,CG13771,CG11381,AANATL2,Acsl,CG2909,CG2909,CG11857,CG11585,CG12682,Ahcy,CG31547,CG15873,CG13245,CG13148,CG30432
Aac11,CG13998,CG11504,Aatf,Actn3,CG31928,CG30091,CG12012,CG13217,CG12684,AIMP1,CG34291,CG15919,CG32819,CG13658,CG32679
Aatf,CG14237,CG12934,ACC,AGBE,CG33640,CG32645,CG13148,CG13245,CG13217,AlaRS,CG4313,CG17145,CG34291,CG14806,CG34124
ab,CG14990,CG14990,Acer,AhcyL2,CG33775,CG34291,CG14806,CG13771,CG13245,Aldh-III,CG43400,CG17737,CG5987,CG14893,CG34133
Abd-B,CG15082,CG15387,Ack,al,CG34040,CG42269,CG15547,CG15283,CG1387,alpha-Man-Ic,CG7166,CG30273,d,CG15368,CG34291
Ac3,CG17386,CG15570,Ack-like,Aldh,CG34205,CG4313,CG15908,CG17078,CG14960,alphaTub84D,CG9522,CG30432,eIF2D,CG15547,CG7166
Ac78C,CG17919,CG17266,Acn,alpha-Est6,CG43400,CG4793,CG2921,CG17145,CG15262,AnxB9,Cpr49Ac,CG31988,Etl1,CG15578,CG7745
Acam,CG18231,CG17732,Acox57D-p,alpha4GT1,CG6324,CG7166,CG30281,CG17283,CG15330,AQP,Gos28,CG32679,heix,CG17385,cmpy
ACC,CG2909,CG2678,Acp65Aa,alphaKap4,CG6550,CG9522,CG32834,CG18231,CG15375,arg,niki,CG33287,Hey,CG17982,Cpr49Ac
AcCoAS,CG30033,CG2698,Acph-1,alphaTub84D,CG9095,Cpr49Ac,CG33640,CG18585,CG15578,Arp2,par-6,CG34040,ox,CG2528,Cyp4ac1
Acer,CG30054,CG2921,ade2,aly,CG9752,d,CG34011,CG18606,CG15764,AsnRS,PHGPx,CG34124,qkr58E-2,CG30432,Cyp4d2
Ack,CG33775,CG30054,ade3,Ama,d,DCP1,CG34291,CG2909,CG16782,AspRS,Pof,CG34176,sisA,CG31709,gd
Ack-like,CG34205,CG33465,ade5,Ance,Ih,pk,CG4313,CG30273,CG17283,Atg3,robo1,CG34312,Syn1,CG31988,Ggamma1
Acn,CG5987,CG33640,Adh,Ance-4,mei-W68,RpL22-like,CG7166,CG31803,CG18269,Atg8a,sca,CG3526,Tengl3,CG32834,heix
Acox57D-p,CG8046,CG34040,adp,AnxB9,niki,sca,CG9147,CG33287,CG1924,ATPCL,Tsp42Ep,CG43331,NA,CG34291,PHGPx
Acp26Aa,CG8617,CG34205,AdSL,APC7,nompA,NA,Cpr49Ac,CG34176,CG2528,ATPsynG,NA,COX8,NA,CG4045,retn
Acp26Ab,CG9368,CG34253,Ady43A,AQP,opa,NA,Cpr76Bc,CG6927,CG30037,ATPsynGL,NA,d,NA,CG5142,RpS15Aa
Acp29AB,d,CG4788,Ag5r2,Arp53D,PHGPx,NA,emc,CG8712,CG30054,awd,NA,FLASH,NA,CG5290,sgll
