Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
128up,a5,ab,128up,a5,a5,a5,a5,Abd-B,Adf1,14-3-3epsilon,a5,Abd-B,Ac78C,a5,aly
14-3-3epsilon,abo,Ac3,5-HT2A,Aatf,Abd-B,Ac3,ab,Ac3,AlaRS,Aac11,Adf1,Ac3,alc,Adf1,Ance-2
5-HT1B,Ac3,Acp26Aa,7B2,ab,Ac3,alc,Adf1,ago,alpha4GT1,AANATL2,alc,Acp76A,alpha-Man-Ic,Adgf-E,Ance-4
5-HT7,Acp26Aa,Acp26Ab,a5,Abd-B,Adf1,Ama,Akh,alc,aly,Ack,alphaTub84D,alc,Ance-2,alphaTub84D,Antp
7B2,Acp26Ab,Acp33A,a6,abo,alc,AnxB11,alphaTub84D,alpha-Est5,Ance-2,Acn,Ance-4,alpha-Est5,arg,aly,arg
a6,Acp33A,Acp53C14a,Aac11,Ac78C,APC10,Arv1,amon,alpha-Man-Ic,Apf,Acox57D-p,APC10,aly,Atg8b,Amun,Atg8b
Aac11,Acp53C14a,Acp53C14b,AANATL2,ACC,AQP,Atg8b,Amun,aly,Arpc4,Acp65Aa,aph-1,Ance-2,atk,Ance-2,baz
Aatf,Acp53C14b,Acp53C14c,Aatf,Acp1,BHD,Bet1,Ance-4,bab1,Atg3,Acph-1,Bet1,Atac2,Bet1,arg,beat-Ia
ab,Acp53C14c,Acp53Ea,abo,Acp26Aa,Blos1,beta4GalNAcTA,APC10,Bap55,ATPsynF,Acsl,Bili,AttD,Bet5,Arpc4,Bet1
Abd-B,Adat1,Adat1,ACC,Acp26Ab,bsh,btv,armi,bsk,ATPsynGL,ade2,bou,Atx-1,btv,Ask1,boi
Ac3,alc,Adf1,Acer,Acp33A,CCHa2-R,CG10166,Arpc4,CCHa2-R,AttD,ade3,CG10062,bab1,Bug22,ATPsynGL,bou
Ac78C,alpha4GT2,AlaRS,Ack,Acp53C14a,CG10405,CG10257,Ate1,Ccs,Bap55,ade5,CG10345,borr,CapaR,AttD,btv
Acam,amos,AlaRS-m,Ack-like,Acp53C14b,CG10804,CG10262,bab2,CdGAPr,boca,adp,CG10803,CecB,CecB,Bet1,c12.1
ACC,Apf,alpha-Man-Ib,Acn,Acp53C14c,CG1092,CG11085,Bruce,Cdlc2,Btk29A,AdSL,CG10804,CG10055,CG11149,betaNACtes6,Caf1-180
AcCoAS,aqrs,alpha4GT2,Acox57D-p,Acp65Aa,CG11211,CG11149,Cad96Ca,CecB,CAH1,Ahcy,CG10866,CG10494,CG11247,boi,Capa
Acer,Arpc1,alphaTub84D,Acp26Aa,Acsl,CG11498,CG11151,ced-6,CG10209,Ccp84Ad,AhcyL2,CG10880,CG10761,CG11319,brn,Ccp84Ab
Acf,Arv1,amos,Acp26Ab,Actn3,CG12133,CG11319,CG10195,CG10211,Cda5,AIMP1,CG10936,CG10804,CG11470,btv,CecB
Ack,b,APC10,Acp33A,ACXE,CG12934,CG11470,CG10803,CG10469,ced-6,Akap200,CG11099,CG10920,CG11585,c12.1,CG10055
Ack-like,beta'COP,ApepP,Acp53C14a,Acyp,CG12998,CG11523,CG10903,CG10560,cep290,akirin,CG11149,CG10970,CG11617,Cda5,CG10209
Acn,BHD,AQP,Acp53C14b,Adat1,CG13078,CG12014,CG10936,CG10565,CG10055,AlaRS,CG11221,CG11211,CG11630,Cdk7,CG10700
Acox57D-p,Blos1,aqrs,Acp53C14c,ade5,CG13430,CG12133,CG11099,CG10761,CG10195,AlaRS-m,CG11470,CG11369,CG11634,CG10055,CG10803
Acp1,bnk,armi,Acp65Aa,Adgf-E,CG13771,CG12333,CG11127,CG10911,CG10477,Alas,CG12012,CG11585,CG12014,CG10344,CG10866
Acp24A4,C901,Arpc1,Acph-1,Adh,CG13982,CG12998,CG11178,CG11149,CG10494,Aldh-III,CG12170,CG12395,CG12096,CG10347,CG10920
Acp26Aa,CCHa2-R,Arpc4,Acsl,AGBE,CG14300,CG13359,CG1139,CG11200,CG10527,alien,CG12992,CG12535,CG12118,CG10494,CG10927
Acp26Ab,Ccp84Ac,Ate1,Adat1,agt,CG14451,CG13365,CG11470,CG11585,CG10560,ALiX,CG13082,CG12682,CG12123,CG10731,CG10931
Acp29AB,Ccp84Ae,aurB,ade2,AhcyL2,CG14598,CG13579,CG11504,CG11882,CG10565,alph,CG13148,CG12717,CG12239,CG10803,CG1109
Acp32CD,Ccp84Af,awd,ade3,al,CG14626,CG13771,CG11555,CG12014,CG10761,alpha-Est1,CG13163,CG12782,CG12333,CG10936,CG11151
Acp33A,Cdlc2,b,ade5,AlaRS,CG14990,CG13998,CG11857,CG12133,CG10801,alpha-Est3,CG13192,CG13084,CG12496,CG11095,CG11586
Acp36DE,CG10029,ball,Adh,Aldh,CG15387,CG14237,CG12012,CG12333,CG10839,alpha-Est5,CG13359,CG13198,CG12590,CG11369,CG12012
Acp53C14a,CG10257,Bap55,adp,Aldh-III,CG15615,CG14273,CG12155,CG12496,CG11369,alpha-Man-Ia,CG13516,CG13216,CG12744,CG11444,CG12239
