Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
128up,Acp63F,al,128up,128up,CG11289,CG10761,CG10151,Acp63F,CG12395,5-HT7,C901,Acp53Ea,bug,CG10933,alpha4GT1
14-3-3epsilon,al,CG11327,14-3-3epsilon,7B2,CG11327,CG10933,CG11362,bug,CG13204,Aatf,Ccp84Ab,CG13670,CG13361,CG11362,amd
4E-T,aly,CG12395,5-HT7,a5,CG12035,CG11406,CG12078,CG11865,CG13557,Acp63F,CG11327,CG13972,CG14246,CG13004,CG10280
5-HT7,CG10761,CG15084,7B2,AANATL2,CG12395,CG13227,CG12309,CG13578,CG13658,Adck,CG11362,CG14007,CG14346,CG13887,CG1105
7B2,CG11327,CG15233,Aac11,Aatf,CG13008,CG13692,CG12395,CG14246,CG1461,ade2,CG12376,CG17821,CG15212,CG1461,CG1129
a6,CG12236,CG15330,AANATL2,ab,CG13876,CG14346,CG1340,CG14545,CG15905,ade3,CG12395,CG31644,CG1690,CG15185,CG12772
Aac11,CG12395,CG15905,Aatf,abd-A,CG14007,CG15212,CG13692,CG15394,CG1688,ade5,CG13168,CG31960,CG18301,CG15710,CG13887
AANATL2,CG14488,CG17343,Ac3,Abd-B,CG14300,CG1690,CG13887,CG17140,CG17821,adp,CG13876,CG5084,CG30265,CG1688,CG14346
Aatf,CG15564,CG17821,Ac78C,Ac3,CG14339,CG17140,CG14317,CG17803,CG31659,Ahcy,CG13887,CG6271,CG31644,CG1690,CG15185
ab,CG1638,CG2113,ACC,Acam,CG14488,CG17147,CG15185,CG18301,CG32461,AIMP3,CG14346,CG8629,CG31803,CG17147,CG1690
abo,CG16771,CG30033,AcCoAS,ACC,CG15233,CG17544,CG15710,CG31644,CG3803,AkhR,CG15185,fln,CG34312,CG17959,CG17180
Ac3,CG17140,CG30065,Acp63F,AcCoAS,CG17140,CG18301,CG1690,CG31803,CG42585,Aldh-III,CG15212,Tsp42Ep,CG34433,CG18301,CG17544
Ac76E,CG1971,CG30090,Ada2a,Acer,CG17821,CG30265,CG17147,CG32590,CG4592,alpha-catenin-related,CG1690,Vm26Ac,CG3803,CG32461,CG17959
Ac78C,CG3062,CG30287,Adat1,achi,CG2113,CG31287,CG17648,CG34433,CG5110,alpha-Est10,CG17544,Wdr24,CG43366,CG42534,CG18735
Acam,CG31097,CG30385,ade2,Acox57D-d,CG3062,CG31644,CG17821,CG42585,CG5498,alpha-Est3,CG18735,NA,CG4793,CG42835,CG2818
ACC,CG31122,CG31097,ade3,Acox57D-p,CG31097,CG31803,CG18234,CG43134,CG5853,alpha-Est6,CG2004,NA,CG6271,CG5835,CG30265
AcCoAS,CG31644,CG31659,ade5,Acp1,CG31644,CG32572,CG18605,CG4793,CG5966,alpha-Est7,CG30265,NA,Tsp42Ef,CG5890,CG31644
Acer,CG31803,CG31909,Adh,Acp32CD,CG32299,CG32812,CG2887,CG5110,CG9119,alpha-Man-Ic,CG30429,NA,Wdr24,CG6488,CG32461
Acf,CG32572,CG32241,Adhr,Acp63F,CG32572,CG33003,CG30265,CG6271,CG9314,alpha-Spec,CG31287,NA,NA,CG9815,CG32801
achi,CG34433,CG32461,adp,Acp65Aa,CG34433,CG34269,CG31542,CG6984,Dbp45A,AMPKalpha,CG31644,NA,NA,CG9864,CG34312
Ack,CG4045,CG32572,AdSL,Acp76A,CG42585,CG34312,CG31988,fln,dsf,Amy-d,CG32240,NA,NA,Cyt-c1L,CG3803
Ack-like,CG42585,CG34433,Ady43A,Acsl,CG5084,CG34433,CG32461,GstE2,gammaSnap1,Amy-p,CG32461,NA,NA,fln,CG43153
Acn,CG5110,CG3803,Ag5r2,Act42A,CG5110,CG3803,CG3345,hale,mei-217,ana2,CG3251,NA,NA,Hasp,CG8629
Acox57D-d,CG6308,CG42585,AGBE,Actn3,CG5928,CG42585,CG34216,Ir52a,Ppcdc,Ance-4,CG32572,NA,NA,NimA,CG8785
Acox57D-p,CG7582,CG43244,agt,ACXD,CG8629,CG43366,CG34433,kirre,NA,Ance-5,CG32700,NA,NA,obst-F,Cyp6a9
Acp1,CG7848,CG4835,AhcyL1,ACXE,CG9173,CG5110,CG3803,Wdr24,NA,antdh,CG32812,NA,NA,Zip48C,Cyt-c1L
Acp26Aa,CG9173,CG5084,AhcyL2,Acyp,CG9314,CG6441,CG42585,NA,NA,AnxB9,CG34312,NA,NA,NA,fln
Acp26Ab,CG9970,CG5110,AIMP3,Adck,CheA46a,CG7164,CG4286,NA,NA,aralar1,CG34433,NA,NA,NA,gammaSnap1
Acp29AB,glob2,CG6280,Akh,ade5,ETH,CG8292,CG43187,NA,NA,Archease,CG34457,NA,NA,NA,MFS14
Acp32CD,GstE2,CG9314,AkhR,Adgf-E,GstE2,CG9864,CG5084,NA,NA,Arp2,CG3803,NA,NA,NA,obst-F
Acp33A,hale,CG9850,akirin,Adh,hale,Cpr65Aw,CG5110,NA,NA,Art8,CG4286,NA,NA,NA,RYa-R
Acp36DE,Ir7g,CLIP-190,al,AdoR,kek6,Cyp316a1,CG7335,NA,NA,AsnRS,CG4955,NA,NA,NA,Slh
Acp53C14a,Kr,CngB,AlaRS-m,adp,l(1)sc,E(spl)m6-BFM,CG9222,NA,NA,Atg4a,CG5084,NA,NA,NA,Taz
Acp53C14b,Met75Cb,Cpr23B,Alas,AdSL,mei-217,Erk7,CG9314,NA,NA,Atg8a,CG8083,NA,NA,NA,Tnks
Acp53C14c,Tsp42Ep,ETH,alc,AGBE,Tsp42Ep,Gas8,Cyp316a1,NA,NA,Atg8b,CG8629,NA,NA,NA,TwdlX
Acp53Ea,TwdlW,Gr61a,Aldh-III,Ahcy,NA,Gr61a,Cyt-c1L,NA,NA,Atg9,CG9235,NA,NA,NA,Wdr24
Acp63F,NA,Gr64b,ALiX,AhcyL2,NA,GstE2,Dic61B,NA,NA,AttC,CG9864,NA,NA,NA,Zip48C
Acp65Aa,NA,grk,Alp4,AIMP1,NA,hale,Gas8,NA,NA,aub,COX6AL,NA,NA,NA,ZnT63C
Acp76A,NA,Hsp60C,alpha-catenin-related,AIMP3,NA,hmw,HLH54F,NA,NA,aust,Cyp316a1,NA,NA,NA,NA
Acph-1,NA,l(1)sc,alpha-Est1,Ak6,NA,l(3)mbn,mei-217,NA,NA,awd,Cyt-c1L,NA,NA,NA,NA
Acsl,NA,Lcp65Ag3,alpha-Est3,Akap200,NA,Spn43Aa,nab,NA,NA,axo,E(spl)m6-BFM,NA,NA,NA,NA
Act42A,NA,mei-217,alpha-Est5,AkhR,NA,Tsp42Ep,NimA,NA,NA,bam,E(spl)mgamma-HLH,NA,NA,NA,NA
Actn3,NA,Nuf2,alpha-Est6,al,NA,unc-45,obst-F,NA,NA,bark,ETH,NA,NA,NA,NA
ACXD,NA,Porin2,alpha-Est7,AlaRS,NA,NA,pdm3,NA,NA,BCAS2,KdelR,NA,NA,NA,NA
ACXE,NA,sna,alpha-Est8,AlaRS-m,NA,NA,ro,NA,NA,beat-Ic,LKRSDH,NA,NA,NA,NA
Acyp,NA,Sr-CIII,alpha-Est9,Alas,NA,NA,sna,NA,NA,beat-IIIb,MFS14,NA,NA,NA,NA
Ada2a,NA,swi2,alpha4GT1,alc,NA,NA,Tim17b1,NA,NA,beta-Spec,obst-F,NA,NA,NA,NA
Adat1,NA,Twdlalpha,alphaSnap,Aldh,NA,NA,Twdlalpha,NA,NA,betaTub56D,Tsp42Ep,NA,NA,NA,NA
ADD1,NA,TwdlW,alphaTub84D,Aldh-III,NA,NA,NA,NA,NA,BHD,NA,NA,NA,NA,NA
ade2,NA,TwdlX,alrm,ALiX,NA,NA,NA,NA,NA,bic,NA,NA,NA,NA,NA
ade3,NA,NA,aly,Alp1,NA,NA,NA,NA,NA,brk,NA,NA,NA,NA,NA
ade5,NA,NA,Amyrel,alpha-Est1,NA,NA,NA,NA,NA,bys,NA,NA,NA,NA,NA
Adf1,NA,NA,Ance,alpha-Est10,NA,NA,NA,NA,NA,C1GalTA,NA,NA,NA,NA,NA
Adgf-E,NA,NA,Ance-3,alpha-Est3,NA,NA,NA,NA,NA,cal1,NA,NA,NA,NA,NA
